epoch,train_loss,train_crack_iou,train_crack_dice,train_tap_iou,train_tap_dice,val_crack_iou,val_crack_dice,val_tap_iou,val_tap_dice
1,0.8991033660954443,0.38036951926790663,0.513975217014442,0.4696073963453895,0.6153883038480815,0.3694831584313303,0.5068845517286782,0.4316277335348882,0.576398356180442
3,0.7273798881248495,0.4390820279812925,0.5778407870158703,0.7099729228296323,0.814200441302832,0.42284342919470397,0.561689898703888,0.6257205742754435,0.7478849770207154
5,0.6477700316015331,0.46395197279093403,0.6009465342385462,0.7335906845350929,0.8311831566523638,0.45638751470080463,0.595198109912075,0.6500933295802066,0.770257727880227
7,0.5610263070155834,0.505233710029292,0.6411668091235607,0.7641618296101287,0.8520096252496178,0.4878496672634842,0.6252968124066521,0.6784448231521406,0.7860862087262305
9,0.5020449332807256,0.547182498460682,0.6787541093444135,0.7844112192257012,0.8587959140562748,0.5129689662450343,0.6513261181735404,0.7270445772691777,0.8255250006914139
11,0.45887169524513444,0.5704842629935282,0.700810360251397,0.8197605532764549,0.8885866868978655,0.5294853158659972,0.6683124625005398,0.7390050644937315,0.8349764511773461
13,0.41419805483571415,0.5883595609877671,0.716473156432821,0.8138780554925854,0.8857842945530043,0.5375220377300718,0.6753996571964899,0.6985090198485475,0.8041358872463829
15,0.36409922937552136,0.6213755228737928,0.7479637547357362,0.837926069021669,0.904487447325905,0.5492411622700465,0.687630287875795,0.7303616518252775,0.829909821874217
17,0.34236290734047176,0.6374960978247417,0.7617731791027182,0.8565569366106675,0.9164485378938467,0.5551700338922964,0.6923196926404527,0.7581491976192123,0.8505245596170425
19,0.3292187787164217,0.635387683875141,0.7605731031823396,0.8623605039868042,0.9228353087049331,0.5530391419680855,0.6908599783534445,0.7557455928702104,0.8507066910204134
21,0.31488591706615754,0.6427039345579706,0.7648090197001788,0.8724560335969294,0.9284484779203175,0.5577194684594395,0.6957401194176667,0.7569575054865134,0.8464782465445367
23,0.31213072541801407,0.6475501663259674,0.7699969407028054,0.8712203173668354,0.9283123724646383,0.5642034152439636,0.7026061712568448,0.7584169177632583,0.8498650122629968
25,0.2917623375167792,0.656981824592395,0.7789239489954831,0.8762496973012949,0.9318516730488121,0.557340697225207,0.6965240103186695,0.7442485462678107,0.841478105438383
27,0.29385200665257444,0.656751905826703,0.776736734089252,0.8777712319070929,0.9323816520488815,0.5593794725692955,0.697729883917198,0.7721156768108669,0.8615251450162185
29,0.2818501901695098,0.6652022973120614,0.783809396718115,0.8939133628800109,0.9429543549950058,0.5668236510353578,0.7039485527617726,0.7484822979098872,0.845956060447191
